Time,Pitch,Error,dError,IntError,ControlSignal
16127,-1.91903,-0.0944167,2.38066,0.114075,-0.944167
16131,-1.90412,-0.0795028,3.67341,0.113752,-0.795028
16135,-1.89318,-0.0685643,2.62998,0.113467,-0.685643
16139,-1.89418,-0.0695633,-0.233512,0.11317,-0.695633
16144,-1.90516,-0.0805449,-2.41735,0.112804,-0.805449
16148,-1.91062,-0.0860056,-1.35397,0.112457,-0.860056
16152,-1.92172,-0.0971025,-2.7436,0.112064,-0.971025
16156,-1.94953,-0.124919,-6.69821,0.111545,-1.24919
16160,-1.96284,-0.138226,-3.04513,0.110941,-1.38226
16164,-1.97135,-0.146739,-1.99864,0.110316,-1.46739
16169,-1.98525,-0.160637,-3.39179,0.109658,-1.60637
16173,-2.00718,-0.182563,-5.55651,0.108938,-1.82563
16177,-2.03802,-0.213402,-7.66291,0.108079,-2.13402
16181,-2.06321,-0.238594,-6.24506,0.107116,-2.38594
16185,-2.09508,-0.270465,-7.80032,0.106011,-2.70465
16189,-2.11088,-0.286271,-3.89479,0.10485,-2.86271
16193,-2.13931,-0.314701,-6.78357,0.103531,-3.14701
16198,-2.16213,-0.337518,-4.18932,0.101692,-3.37518
16204,-2.18763,-0.363018,-4.65439,0.0997036,-3.63018
16209,-2.22002,-0.395411,-6.51945,0.0977389,-3.95411
16213,-2.22675,-0.402137,-1.49679,0.0959318,-4.02137
16218,-2.25808,-0.433463,-6.16563,0.0937295,-4.33463
16223,-2.25955,-0.43494,-0.299792,0.091586,-4.3494
16228,-2.29559,-0.470975,-7.19965,0.0892287,-4.70975
16233,-2.31757,-0.492954,-4.25893,0.0866847,-4.92954
16239,-2.32687,-0.502257,-1.75252,0.0840186,-5.02257
16244,-2.32738,-0.502771,-0.101007,0.0814576,-5.02771
16249,-2.33693,-0.512314,-1.91319,0.0789022,-5.12314
16254,-2.35196,-0.527349,-3.18328,0.0764115,-5.27349
16259,-2.36299,-0.538382,-2.10061,0.0735838,-5.38382
16264,-2.3685,-0.54389,-1.05907,0.0707551,-5.4389
16269,-2.38093,-0.556315,-2.28507,0.06773,-5.56315
16275,-2.40696,-0.582345,-4.91464,0.0646458,-5.82345
16280,-2.42206,-0.597449,-2.95631,0.0615933,-5.97449
16284,-2.43824,-0.613624,-3.66763,0.058887,-6.13624
16290,-2.45604,-0.631429,-3.29923,0.0554795,-6.31429
16296,-2.48969,-0.665078,-5.4259,0.051355,-6.65078
16301,-2.51033,-0.685713,-4.18002,0.0479698,-6.85713
16309,-2.5174,-0.692787,-0.902198,0.0425382,-6.92787
16313,-2.51469,-0.690078,0.621283,0.0395291,-6.90078
16318,-2.51277,-0.688161,0.407203,0.0362908,-6.88161
16323,-2.50037,-0.67576,2.34085,0.0327108,-6.7576
16332,-2.44498,-0.620367,5.98781,0.0269718,-6.20367
16337,-2.4236,-0.598989,5.01196,0.0244168,-5.98989
16341,-2.40327,-0.578657,4.96724,0.0220482,-5.78657
16345,-2.3584,-0.533783,10.5917,0.0197868,-5.33783
16349,-2.31696,-0.492344,10.0411,0.0177549,-4.92344
16353,-2.27012,-0.445503,11.3148,0.0159106,-4.45503
16357,-2.24023,-0.415622,7.11626,0.0141654,-4.15622
16362,-2.18977,-0.365154,11.6149,0.0125787,-3.65154
16366,-2.13861,-0.314,12.0802,0.0112491,-3.14
16370,-2.06165,-0.237039,17.7623,0.0102221,-2.37039
16374,-1.99605,-0.171442,15.9905,0.00951877,-1.71442
16378,-1.93495,-0.110332,15.0223,0.00906995,-1.10332
16383,-1.87716,-0.0525485,14.0151,0.00885329,-0.525485
16387,-1.8031,0.0215174,15.4112,0.0089567,0.215174
16392,-1.74581,0.0787996,13.6158,0.00928822,0.787996
16397,-1.7147,0.109913,6.23322,0.00983684,1.09913
16401,-1.70034,0.124277,2.91909,0.0104484,1.24277
16407,-1.67619,0.148427,4.56011,0.0112345,1.48427
16412,-1.66529,0.159321,2.06921,0.0120732,1.59321
16417,-1.6686,0.156011,-0.691643,0.0128198,1.56011
16422,-1.69504,0.129572,-5.5683,0.013435,1.29572
16427,-1.72342,0.101197,-5.62236,0.0139457,1.01197
16431,-1.76319,0.0614203,-8.3806,0.0142373,0.614203
16436,-1.81538,0.00923717,-11.0257,0.014281,0.0923717
16441,-1.87522,-0.0506099,-12.356,0.0140358,-0.506099
16446,-1.94629,-0.121681,-12.9102,0.013366,-1.21681
16452,-2.0381,-0.213483,-16.39,0.0121702,-2.13483
16458,-2.11755,-0.292942,-14.5941,0.0105753,-2.92942
16463,-2.20964,-0.38503,-17.1035,0.00850223,-3.8503
16468,-2.28605,-0.461435,-15.0259,0.00615587,-4.61435
16473,-2.34428,-0.519668,-11.9696,0.00362766,-5.19668
